LG유플러스,032640,16000,16000,10200,10200,10200,10200,0,False,False,0.0,0,-,0,
LG이노텍,011070,238000,238000,99100,85420,77896,70372,0,False,False,0.0,0,-,20200320,
LG전자,066570,193000,193000,119500,103120,94111,85102,0,False,False,0.0,0,-,20201223,
LG하우시스,108670,109500,109500,34750,34750,34750,34750,0,False,False,0.0,0,-,0,
LG헬로비전,037560,6630,6630,3015,3015,3015,3015,0,False,False,0.0,0,-,0,
LG화학,051910,1050000,1050000,280000,280000,280000,280000,0,False,False,0.0,0,-,0,
LIG넥스원,079550,49000,49000,19400,19400,19400,19400,0,False,False,0.0,0,-,0,
LS,006260,80000,80000,28900,28900,28900,28900,0,False,False,0.0,0,-,0,
LS ELECTRIC,010120,79200,79100,29500,29500,29500,29500,0,False,False,0.0,0,-,0,
LS네트웍스,000680,4185,4185,1535,1535,1535,1535,0,False,False,0.0,0,-,0,
LS전선아시아,229640,9680,9680,6050,6050,6050,6050,0,False,False,0.0,0,-,0,
LX홀딩스,383800,14300,14300,12000,12000,12000,12000,0,False,False,0.0,0,-,0,
MH에탄올,023150,11850,11850,7910,7910,7910,7910,0,False,False,0.0,0,-,0,
NAVER,035420,410000,410000,146000,146000,146000,146000,0,False,False,0.0,0,-,0,
NE능률,053290,29050,29050,26700,23010,20980,18950,1,False,False,0.0,0,-,20210601,
NHN,181710,92000,77500,59800,59800,59800,59800,0,False,False,0.0,0,-,0,
NHN벅스,104200,8180,8180,3570,3570,3570,3570,0,False,False,0.0,0,-,0,
NHN한국사이버결제,060250,70350,70200,22418,22418,22418,22418,0,False,False,0.0,0,-,0,
NH투자증권,005940,13700,13700,7680,7680,7680,7680,0,False,False,0.0,0,-,0,
NICE,034310,22500,21500,16000,16000,16000,16000,0,False,False,0.0,0,-,0,
NICE평가정보,030190,30400,30400,12550,12550,12550,12550,0,False,False,0.0,0,-,0,
NI스틸,008260,6650,6650,5310,4575,4171,3767,1,False,False,0.0,0,-,20210427,
NPC,004250,4820,4820,2835,2835,2835,2835,0,False,False,0.0,0,-,0,
OCI,010060,147000,147000,59000,50840,46352,41864,0,False,False,0.0,0,-,20200721,
PI첨단소재,178920,52000,52000,26100,26100,26100,26100,0,False,False,0.0,0,-,0,
PN풍년,024940,13950,13950,11550,9960,9086,8212,1,False,False,0.0,0,-,20210521,
POSCO,005490,413500,413500,147500,147500,147500,147500,0,False,False,0.0,0,-,0,
RFHIC,218410,48346,48346,35076,35076,35076,35076,0,False,False,0.0,0,-,0,
RF머트리얼즈,327260,40800,40800,16450,16450,16450,16450,0,False,False,0.0,0,-,0,
S&K폴리텍,091340,6570,6570,4665,4665,4665,4665,0,False,False,0.0,0,-,0,
S-Oil,010950,107000,107000,56400,56400,56400,56400,0,False,False,0.0,0,-,0,
SBI인베스트먼트,019550,2945,2945,2780,2396,2185,1974,0,False,False,2.0,2185,-,20210412,
SBI핀테크솔루션즈,950110,11900,11900,6670,6670,6670,6670,0,False,False,0.0,0,-,0,
SBS,034120,46800,46800,15100,15100,15100,15100,0,False,False,0.0,0,-,0,
SBS미디어홀딩스,101060,2675,2675,1645,1645,1645,1645,0,False,False,0.0,0,-,0,
SBS콘텐츠허브,046140,9240,9240,4935,4935,4935,4935,0,False,False,0.0,0,-,0,
SCI평가정보,036120,6940,5190,4885,4210,3839,3468,0,False,False,0.0,0,-,20200629,
SDN,099220,5720,4060,3640,3136,2859,2582,0,False,False,0.0,0,-,20200909,
SFA반도체,036540,10300,10300,7930,6832,6228,5624,0,False,False,0.0,0,-,20210126,
SG,255220,2950,2950,1060,1060,1060,1060,0,False,False,1.0,2306,-,20210413,
SG&G,040610,3430,3430,999,999,999,999,0,False,False,0.0,0,-,20210107,
SGC에너지,005090,51700,47800,24200,24200,24200,24200,0,False,False,0.0,0,-,0,
SGC이테크건설,016250,72400,72400,15855,15855,15855,15855,0,False,False,0.0,0,-,0,
SG글로벌,001380,4980,4980,4125,3555,3241,2927,0,False,False,0.0,0,-,20210402,
SG세계물산,004060,925,916,405,405,405,405,0,False,False,0.0,0,-,0,
SH에너지화학,002360,1445,1445,1085,935,853,771,0,False,False,0.0,0,-,20210104,
SIMPAC,009160,4990,4990,2100,2100,2100,2100,0,False,False,0.0,0,-,0,
SK,034730,360500,360500,124000,124000,124000,124000,0,False,False,0.0,0,-,0,
SKC,011790,151000,151000,34700,34700,34700,34700,0,False,False,0.0,0,-,0,
SK가스,018670,129500,118000,60500,60500,60500,60500,0,False,False,0.0,0,-,0,
SK네트웍스,001740,6260,6260,4595,4595,4595,4595,0,False,False,0.0,0,-,0,
SK디스커버리,006120,91600,71800,67200,57900,52785,47670,0,False,False,0.0,0,-,20200810,
SK디앤디,210980,60300,50500,23050,23050,23050,23050,0,False,False,0.0,0,-,0,
SK렌터카,068400,15350,15350,6610,6610,6610,6610,0,False,False,0.0,0,-,0,
